ride_id,user_id,start_station_id,end_station_id,start_time,end_time,distance_km
1,542,17,5,2024-03-25 10:06:00,2024-03-25 10:24:55.074889,3.78
2,804,2,23,2024-02-05 16:53:00,2024-02-05 17:01:49.215435,1.76
3,328,13,23,2024-08-27 04:46:00,2024-08-27 05:00:10.059262,2.83
4,52,22,2,2024-01-03 00:39:00,2024-01-03 01:17:10.690811,7.64
5,449,23,10,2024-01-29 17:22:00,2024-01-29 18:28:32.193009,13.31
6,400,3,23,2024-07-16 15:04:00,2024-07-16 15:17:43.137128,2.74
7,938,9,21,2024-06-25 10:18:00,2024-06-25 11:12:32.758482,10.91
8,457,11,22,2024-10-14 13:12:00,2024-10-14 13:24:25.018144,2.48
9,985,14,21,2024-10-21 12:35:00,2024-10-21 13:03:59.693859,5.8
10,315,20,13,2024-06-18 12:03:00,2024-06-18 12:46:13.807639,8.65
11,732,12,16,2024-03-31 16:54:00,2024-03-31 17:36:58.499036,8.59
12,292,2,21,2024-07-25 11:23:00,2024-07-25 12:04:50.939864,8.37
13,412,21,18,2024-12-12 17:26:00,2024-12-12 18:26:39.679449,12.13
14,318,7,8,2024-12-07 07:57:00,2024-12-07 08:17:09.463112,4.03
15,357,2,21,2024-05-01 07:44:00,2024-05-01 08:25:36.003397,8.32
16,354,5,8,2024-06-09 06:45:00,2024-06-09 07:37:39.569607,10.53
17,476,12,2,2024-01-16 14:15:00,2024-01-16 14:22:02.770501,1.41
18,534,11,1,2024-09-29 20:40:00,2024-09-29 20:56:51.705739,3.37
19,116,6,19,2024-05-11 14:14:00,2024-05-11 14:59:03.559854,9.01
20,437,9,7,2024-10-09 16:02:00,2024-10-09 16:31:27.790136,5.89
21,40,5,2,2024-01-21 09:40:00,2024-01-21 10:14:06.864152,6.82
22,788,17,16,2024-09-05 16:53:00,2024-09-05 17:23:56.269854,6.19
23,672,11,21,2024-12-21 06:48:00,2024-12-21 06:58:55.155276,2.18
24,122,23,6,2024-04-27 10:43:00,2024-04-27 11:37:23.913347,10.88
25,590,13,17,2024-09-14 15:20:00,2024-09-14 15:38:39.531443,3.73
26,50,13,15,2024-03-24 18:34:00,2024-03-24 18:46:25.881368,2.49
27,419,13,24,2024-02-28 20:15:00,2024-02-28 20:44:30.383032,5.9
28,544,11,18,2024-12-02 14:16:00,2024-12-02 14:47:51.641493,6.37
29,347,25,6,2024-09-13 15:08:00,2024-09-13 15:11:47.745644,0.76
30,458,22,16,2024-07-14 18:08:00,2024-07-14 18:19:01.447496,2.2
31,57,24,24,2024-10-24 17:10:00,2024-10-24 17:46:25.315464,7.28
32,728,4,11,2024-08-14 14:52:00,2024-08-14 15:23:17.271593,6.26
33,171,5,19,2024-04-29 08:49:00,2024-04-29 09:03:23.828651,2.88
34,638,14,14,2024-07-14 23:40:00,2024-07-15 00:18:10.342831,7.63
35,515,21,24,2024-01-06 19:04:00,2024-01-06 19:55:15.990218,10.25
36,369,8,20,2024-09-22 11:07:00,2024-09-22 11:39:42.272314,6.54
37,685,6,21,2024-11-08 15:35:00,2024-11-08 15:48:34.029047,2.71
38,320,2,12,2024-08-24 07:51:00,2024-08-24 08:28:21.924798,7.47
39,525,6,12,2024-07-14 15:29:00,2024-07-14 15:47:00.005496,3.6
40,714,8,8,2024-03-05 15:51:00,2024-03-05 16:01:14.555202,2.05
41,740,15,1,2024-12-05 16:45:00,2024-12-05 17:38:42.220735,10.74
42,337,8,23,2024-08-28 16:32:00,2024-08-28 17:23:06.127172,10.22
43,566,12,25,2024-06-11 06:43:00,2024-06-11 06:58:57.996033,3.19
44,826,2,20,2024-04-20 07:55:00,2024-04-20 08:19:36.187777,4.92
45,416,17,21,2024-09-03 13:11:00,2024-09-03 13:19:57.154654,1.79
46,252,9,16,2024-08-20 16:11:00,2024-08-20 16:42:44.305155,6.35
47,739,1,10,2024-08-21 06:57:00,2024-08-21 07:28:00.034310,6.2
48,899,19,25,2024-07-01 16:47:00,2024-07-01 17:15:16.214001,5.65
49,690,19,15,2024-12-07 15:58:00,2024-12-07 16:30:03.421002,6.41
50,957,21,9,2024-03-22 07:14:00,2024-03-22 08:15:50.659181,12.37
51,693,8,14,2024-03-25 09:46:00,2024-03-25 10:18:53.624952,6.58
52,244,3,15,2024-12-13 17:55:00,2024-12-13 18:30:50.674556,7.17
53,604,11,7,2024-07-25 18:10:00,2024-07-25 18:19:17.274715,1.86
54,960,7,18,2024-09-19 07:10:00,2024-09-19 07:48:58.175729,7.79
55,150,22,7,2024-11-02 07:27:00,2024-11-02 07:55:47.317777,5.76
56,708,11,17,2024-05-17 06:23:00,2024-05-17 07:08:12.846939,9.04
57,57,7,4,2024-09-27 16:50:00,2024-09-27 17:41:18.593687,10.26
58,114,22,10,2024-04-01 18:57:00,2024-04-01 19:04:54.135440,1.58
59,306,14,22,2024-08-10 21:58:00,2024-08-10 22:19:24.683851,4.28
60,648,16,15,2024-09-02 09:42:00,2024-09-02 10:18:54.991560,7.38
61,117,5,4,2024-02-24 14:14:00,2024-02-24 14:54:11.547712,8.04
62,933,24,19,2024-05-06 14:42:00,2024-05-06 15:04:18.701584,4.46
63,677,15,6,2024-10-21 18:41:00,2024-10-21 18:50:24.219043,1.88
64,749,14,3,2024-04-02 11:09:00,2024-04-02 12:11:48.569758,12.56
65,679,12,5,2024-03-29 17:49:00,2024-03-29 18:08:09.399290,3.83
66,291,15,11,2024-11-09 02:44:00,2024-11-09 03:19:50.121409,7.17
67,469,25,24,2024-04-09 20:07:00,2024-04-09 20:40:09.269948,6.63
68,526,13,10,2024-07-02 12:00:00,2024-07-02 12:34:35.091966,6.92
69,268,12,12,2024-01-21 11:54:00,2024-01-21 12:27:34.339243,6.71
70,527,5,1,2024-11-09 16:45:00,2024-11-09 16:51:44.200981,1.35
71,839,4,25,2024-12-09 15:48:00,2024-12-09 16:05:26.029275,3.49
72,549,11,8,2024-10-12 12:55:00,2024-10-12 13:43:24.408115,9.68
73,306,11,11,2024-03-31 14:02:00,2024-03-31 14:29:35.267193,5.52
74,41,23,13,2024-06-22 14:59:00,2024-06-22 15:50:20.344024,10.27
75,362,25,12,2024-01-29 07:32:00,2024-01-29 08:01:27.373386,5.89
76,868,4,13,2024-03-02 12:37:00,2024-03-02 13:11:41.571241,6.94
77,209,19,21,2024-02-07 00:37:00,2024-02-07 00:51:46.308430,2.95
78,127,9,21,2024-08-12 13:33:00,2024-08-12 14:08:13.617378,7.05
79,259,13,1,2024-06-28 17:34:00,2024-06-28 18:09:29.256324,7.1
80,399,16,2,2024-12-13 00:38:00,2024-12-13 00:54:44.539120,3.35
81,165,20,1,2024-04-29 21:29:00,2024-04-29 21:45:01.387343,3.2
