station_id,station_name,capacity,lat,lon
1,Megan Manors St,10,46.728847,43.737302
2,Ryan Islands St,30,-86.9642045,20.624754
3,Fisher Stravenue St,20,-66.6903025,25.872797
4,Jimenez Summit St,20,72.592864,-167.735942
5,Taylor Fall St,10,35.634175,2.486946
6,Richard Haven St,20,28.2049565,-50.958117
7,Nancy Spring St,10,53.490127,162.203124
8,Jennifer Land St,20,-73.007552,117.625279
9,Rhonda Ports St,20,-20.632055,-115.649575
10,Brown Shoal St,50,-1.7550935,-114.944076
11,Andrew Ranch St,20,82.9498835,74.563919
12,Espinoza Pines St,10,24.657822,5.129388
13,Stephanie Summit St,30,81.383664,-76.08627
14,Krystal Village St,20,34.2493725,-149.047073
15,Samuel Manor St,30,-21.513012,59.74541
16,Smith Light St,10,15.4944945,-139.192788
17,Edwards Drive St,50,-84.1513335,-109.394362
18,Christine Orchard St,30,14.517564,148.189213
19,King Harbors St,30,-85.020499,-92.769207
20,Christy Valley St,10,74.7280125,-118.712201
21,Harper Well St,50,-17.2385445,-28.704659
22,Bell Villages St,10,29.6922415,-147.702565
23,Michael Shores St,10,75.494271,173.564126
24,Samuel Extension St,10,-9.344585,144.399106
25,Amy Park St,10,37.6226945,123.233438
