user_id,username,age,membership_level,created_at
1,enewman,33,Casual,2024-03-25
2,oliverdaniel,28,Casual,2025-01-20
3,pmartinez,35,Casual,2024-11-20
4,joseph98,42,Casual,2024-11-08
5,xstrong,28,Casual,2024-03-07
6,judy09,28,Casual,2024-07-18
7,yrobinson,42,Subscriber,2024-08-03
8,qwatson,36,Casual,2024-09-30
9,justinmejia,26,Casual,2024-02-12
10,mendozadavid,34,Casual,2024-04-05
11,mkim,26,Subscriber,2025-01-04
12,fernandezcarolyn,26,Casual,2024-04-27
13,darrell05,31,Casual,2024-05-23
14,jennifer31,18,Subscriber,2024-01-28
15,ramosnicholas,18,Casual,2024-01-24
16,tconner,25,Casual,2025-01-15
17,fergusonbrittany,21,Subscriber,2025-01-08
18,randy21,32,Casual,2024-10-08
19,nancymiller,22,Casual,2024-09-29
20,sarah60,18,Casual,2024-06-12
21,brownjohn,41,Casual,2024-02-04
22,nicolemiller,28,Casual,2024-04-01
23,kkrause,30,Subscriber,2024-08-16
24,jennifer78,18,Casual,2024-07-05
25,richardking,25,Casual,2024-07-19
26,hillsean,30,Casual,2024-07-27
27,davidsmith,20,Casual,2024-04-23
28,rebecca37,33,Casual,2024-07-09
29,jimenezjohn,25,Subscriber,2024-03-23
30,nrichard,27,Casual,2024-05-10
31,vanessamitchell,25,Casual,2024-06-16
32,wlittle,44,Casual,2024-09-10
33,russell16,29,Casual,2024-05-17
34,nsutton,21,Casual,2024-06-15
35,laurengonzalez,36,Casual,2024-10-07
36,rescobar,20,Subscriber,2024-05-13
37,vincentdarlene,31,Casual,2024-04-19
38,anthonyross,18,Casual,2024-08-29
39,pbrown,19,Subscriber,2024-03-13
40,oconnormichael,31,Casual,2025-01-08
41,christopherperry,35,Casual,2024-07-29
42,matthewsmith,31,Casual,2025-01-01
43,michaelgray,29,Casual,2024-03-08
44,christophershepherd,27,Subscriber,2025-01-07
45,obrienmichael,18,Casual,2024-06-02
46,watsonnicholas,24,Casual,2024-08-15
47,thorntonjames,26,Casual,2024-07-30
48,michelle83,38,Casual,2024-11-01
49,crystalrichard,32,Subscriber,2024-05-22
50,cmartin,18,Subscriber,2024-10-05
51,joseph50,32,Casual,2024-10-05
52,owilkins,26,Casual,2024-12-17
53,hodgestephen,24,Subscriber,2024-12-18
54,jasonwatson,34,Casual,2024-05-20
55,vchavez,38,Subscriber,2024-04-21
56,cynthia42,37,Casual,2024-10-15
57,steven79,23,Casual,2024-09-30
58,sking,27,Casual,2024-05-24
59,wendycurtis,32,Casual,2024-12-19
60,psanchez,37,Subscriber,2024-04-01
61,tamara75,26,Casual,2024-10-05
62,stacy17,28,Subscriber,2024-10-05
63,robinsonwilliam,21,Casual,2024-07-22
64,anthony89,20,Casual,2024-06-23
65,brewerthomas,36,Casual,2024-02-04
66,alvaradothomas,40,Subscriber,2024-11-11
67,cooperelizabeth,29,Casual,2024-10-14
68,herreraholly,38,Casual,2024-02-21
69,jonathanfuller,32,Casual,2024-01-28
70,qsoto,24,Casual,2024-12-11
71,matthew34,32,Casual,2024-11-10
72,sandovalkristen,42,Casual,2024-08-01
73,christina38,29,Casual,2024-09-14
74,latoya99,42,Casual,2024-03-26
75,brandonknight,18,Casual,2024-11-01
76,andrea11,36,Subscriber,2024-08-08
77,elizabethkline,30,Subscriber,2024-06-03
